,input1,input2,mean_diff,sem,t_df19,p,sidak_sig
482,language_010,wm_120,0.3711172235312759,0.04903109410332888,7.5690177900003155,3.776857620454255e-07,True
483,language_025,language_050,-0.0420086391438515,0.015136694314027192,-2.7752848985608467,0.012054819379004511,False
484,language_025,language_075,-0.11636503903463198,0.019668593158943627,-5.9162868484937325,1.073011050333664e-05,True
485,language_025,language_120,-0.1756418205475301,0.026548346003388346,-6.615923286712968,2.4890325394163144e-06,True
486,language_025,motor_001,0.7686305768511954,0.03318488337532296,23.16206955311366,2.1750913486048e-15,True
487,language_025,motor_010,-0.2538400817604448,0.014789482863242614,-17.163553594651518,5.033257207182608e-13,True
488,language_025,motor_025,-0.26986765468477225,0.015451218901753314,-17.465784181864723,3.681214485531064e-13,True
489,language_025,motor_050,-0.2962948452495948,0.014179345976421802,-20.896227917866604,1.4333247868600316e-14,True
490,language_025,motor_075,-0.3210821321453564,0.017768429653002942,-18.07037191331605,1.997015639859468e-13,True
491,language_025,motor_120,-0.3452528215939551,0.014678703963020776,-23.520661119927954,1.6397436362498535e-15,True
492,language_025,relational_001,0.6264378078855096,0.01710785313902899,36.61697366669498,4.362670044521895e-19,True
493,language_025,relational_010,0.5694507502773899,0.018390236653799723,30.96484080098731,1.0032223481230816e-17,True
494,language_025,relational_025,0.5150341361011874,0.021416815612357212,24.048119264005788,1.0900365923974712e-15,True
495,language_025,relational_050,0.4768301032288756,0.019715959411805976,24.18498097248812,9.818024304759737e-16,True
496,language_025,relational_075,0.4178403186021761,0.023139640589877216,18.057338314276436,2.0231270547285296e-13,True
497,language_025,relational_120,0.4569621600643563,0.02169705349885365,21.06102379701002,1.2418807696355773e-14,True
498,language_025,social_001,0.5590482065368704,0.02540921447487908,22.00179022022013,5.584964296279365e-15,True
499,language_025,social_010,0.2202988245321018,0.03316548260968281,6.642412749567064,2.358047084473073e-06,True
500,language_025,social_025,0.19672838099362622,0.03447048383753907,5.7071546172898495,1.6807668079440788e-05,True
501,language_025,social_050,0.12928132450926433,0.03533677494474057,3.6585490529748026,0.0016702907327142715,False
502,language_025,social_075,0.12684468520248512,0.03328177109175088,3.8112360322652563,0.0011791401446875408,False
503,language_025,social_120,0.07618357709933461,0.034480811243987504,2.2094485121088594,0.03961852976625053,False
504,language_025,wm_001,0.8531095963659462,0.016966499640357506,50.282003621813075,1.1188009655008333e-21,True
505,language_025,wm_010,0.555838814480898,0.023319749205458266,23.835539978740307,1.283714188781805e-15,True
506,language_025,wm_025,0.473397671476316,0.03368940123105048,14.051827998652586,1.7259162723465852e-11,True
507,language_025,wm_050,0.45315597602420377,0.04156379177949391,10.902662067703233,1.2854487601375105e-09,True
508,language_025,wm_075,0.4197688305377132,0.046243531541521894,9.077352367883156,2.4440947714890067e-08,True
509,language_025,wm_120,0.3902936243793246,0.042328779507663276,9.220526292487719,1.9131913831790888e-08,True
510,language_050,language_075,-0.0743563998907805,0.02463079197800004,-3.018839181346456,0.007060768268823943,False
511,language_050,language_120,-0.1336331814036786,0.02838299299158895,-4.708213169882388,0.0001530590255681422,False
512,language_050,motor_001,0.8106392159950466,0.03587231571308533,22.597905930543135,3.4210702748354165e-15,True
513,language_050,motor_010,-0.21183144261659334,0.015360506078449947,-13.79065517338538,2.3914391102198946e-11,True
514,language_050,motor_025,-0.22785901554092075,0.015018738920285496,-15.171647682959344,4.504892031118369e-12,True
515,language_050,motor_050,-0.2542862061057433,0.014975726228941846,-16.979891473597714,6.101642508216224e-13,True
516,language_050,motor_075,-0.2790734930015049,0.019170651124744743,-14.557329909430543,9.311259748144135e-12,True
517,language_050,motor_120,-0.30324418245010365,0.01862960708262063,-16.277540428267915,1.2961602101345037e-12,True
518,language_050,relational_001,0.6684464470293613,0.018710545490874003,35.725652539387134,6.9234526143185e-19,True
519,language_050,relational_010,0.6114593894212413,0.0216276928480337,28.27205813017789,5.456393457495018e-17,True
520,language_050,relational_025,0.5570427752450389,0.02105833806632883,26.45236169589854,1.8745985741226814e-16,True
521,language_050,relational_050,0.5188387423727272,0.018919015144689643,27.4241940399503,9.60347219786591e-17,True
522,language_050,relational_075,0.4598489577460276,0.02901683750133737,15.847659405503212,2.0848421915330417e-12,True
523,language_050,relational_120,0.4989707992082078,0.022785354806694413,21.898750466751938,6.086331613331573e-15,True
524,language_050,social_001,0.601056845680722,0.021249297887224614,28.285962617244223,5.4067730597777875e-17,True
525,language_050,social_010,0.26230746367595337,0.034518107746267235,7.599126394879484,3.565568584063213e-07,True
526,language_050,social_025,0.23873702013747772,0.03447430176345806,6.925071949986041,1.3322113981723797e-06,True
527,language_050,social_050,0.17128996365311583,0.03506589286027885,4.8848025725632045,0.00010287913006356269,False
528,language_050,social_075,0.16885332434633663,0.03606230869363034,4.682266068455041,0.00016229080987402255,False
529,language_050,social_120,0.1181922162431861,0.03412924413978331,3.463077463980909,0.0026045770711492448,False
530,language_050,wm_001,0.8951182355097977,0.02152780941948455,41.57962466444158,4.0117303057251535e-20,True
531,language_050,wm_010,0.5978474536247493,0.024345474016327123,24.556821248327598,7.41037557876153e-16,True
532,language_050,wm_025,0.5154063106201675,0.030723338357629915,16.77572614735632,7.573883074584778e-13,True
533,language_050,wm_050,0.4951646151680554,0.044310109699684595,11.174980574953981,8.54393611369769e-10,True
534,language_050,wm_075,0.46177746968156475,0.049197301832564634,9.38623567717499,1.4454420042454234e-08,True
535,language_050,wm_120,0.432302263523176,0.041604723925635995,10.390701409192625,2.8286861526105122e-09,True
536,language_075,language_120,-0.059276781512898113,0.030919569883593623,-1.9171282697677898,0.07038374093433537,False
537,language_075,motor_001,0.8849956158858274,0.04336218938232875,20.409384961694,2.2027373456687492e-14,True
538,language_075,motor_010,-0.13747504272581285,0.02517432590979026,-5.460922497724119,2.8698198698566805e-05,True
539,language_075,motor_025,-0.15350261565014023,0.019922599476639907,-7.704949137291474,2.9152373414863845e-07,True
540,language_075,motor_050,-0.17992980621496285,0.021548731884747287,-8.349902313384924,8.823017161592968e-08,True
541,language_075,motor_075,-0.20471709311072442,0.022795513624434348,-8.980586991086247,2.8881408637500253e-08,True
542,language_075,motor_120,-0.22888778255932313,0.02034493308339177,-11.25035809265805,7.640579421226737e-10,True
543,language_075,relational_001,0.7428028469201418,0.02060853817019458,36.04345154351763,5.864850603728397e-19,True
544,language_075,relational_010,0.6858157893120217,0.029721280020988863,23.074907568843123,2.3311522727263605e-15,True
545,language_075,relational_025,0.6313991751358194,0.02814084171639246,22.437110499364344,3.899948121443049e-15,True
546,language_075,relational_050,0.5931951422635076,0.02705303274301231,21.927121735241585,5.943734357885905e-15,True
547,language_075,relational_075,0.5342053576368081,0.029060025638731238,18.38282471866847,1.4662712942587024e-13,True
548,language_075,relational_120,0.5733271990989882,0.027301632400046936,20.99974062715761,1.3097303160647005e-14,True
549,language_075,social_001,0.6754132455715026,0.027862527702710464,24.240917865675137,9.408734193087407e-16,True
550,language_075,social_010,0.3366638635667338,0.030508160181590797,11.035207025361139,1.0526979330586304e-09,True
551,language_075,social_025,0.3130934200282582,0.040383557444838486,7.752992550394427,2.661854899947517e-07,True
552,language_075,social_050,0.24564636354389627,0.03833350155769783,6.408137883625386,3.815935943791238e-06,True
553,language_075,social_075,0.2432097242371171,0.038754713056070846,6.275616694290523,5.026267779689741e-06,True
554,language_075,social_120,0.19254861613396657,0.04105500159971811,4.690016042656508,0.00015947580273528204,False
555,language_075,wm_001,0.9694746354005783,0.022959227778880188,42.22592522438328,3.001621561158171e-20,True
556,language_075,wm_010,0.6722038535155299,0.0263747881169538,25.48660677518145,3.730701344934231e-16,True
557,language_075,wm_025,0.589762710510948,0.028573199133094175,20.640415788369683,1.7943167567657143e-14,True
558,language_075,wm_050,0.5695210150588359,0.038096375382253,14.949480346735143,5.84045319688369e-12,True
559,language_075,wm_075,0.5361338695723453,0.05255888530361061,10.200632423525063,3.818138019225922e-09,True
560,language_075,wm_120,0.5066586634139567,0.04753442909576751,10.658772452977033,1.865241016231894e-09,True
561,language_120,motor_001,0.9442723973987255,0.04822618467408145,19.58007675249941,4.682254875170488e-14,True
562,language_120,motor_010,-0.07819826121291475,0.022602993768348095,-3.459641763137545,0.0026249392807944955,False
563,language_120,motor_025,-0.09422583413724214,0.02595961181411089,-3.629708903660251,0.001783673017941491,False
564,language_120,motor_050,-0.1206530247020647,0.021228072984927984,-5.683654130439857,1.7682816266123027e-05,True
565,language_120,motor_075,-0.14544031159782628,0.02487695397391038,-5.846387453639072,1.245923137701435e-05,True
566,language_120,motor_120,-0.16961100104642501,0.022978872241013106,-7.381171680988775,5.423907177264537e-07,True
567,language_120,relational_001,0.8020796284330398,0.019582501232904375,40.95899797954867,5.3225682636723134e-20,True
568,language_120,relational_010,0.7450925708249199,0.026715802366982833,27.88958237487768,7.027156131858317e-17,True
569,language_120,relational_025,0.6906759566487175,0.028954678576071008,23.85369103076531,1.2658449542128357e-15,True
570,language_120,relational_050,0.6524719237764058,0.030049677970741952,21.713108686611854,7.112687409644913e-15,True
571,language_120,relational_075,0.5934821391497063,0.03287852795057218,18.05075154343636,2.0364590350700457e-13,True
572,language_120,relational_120,0.6326039806118864,0.03101021051786794,20.399860886058253,2.22153989594766e-14,True
573,language_120,social_001,0.7346900270844007,0.02990072272534077,24.570978896832923,7.332002786718022e-16,True
574,language_120,social_010,0.39594064507963184,0.039011815328181765,10.149249445298386,4.143462572923447e-09,True
575,language_120,social_025,0.3723702015411563,0.03569565542220731,10.431807376465594,2.6523842293127663e-09,True
576,language_120,social_050,0.30492314505679435,0.045469138413043016,6.706156212745079,2.07120262919209e-06,True
577,language_120,social_075,0.30248650575001523,0.03864255984271509,7.827807137550182,2.3118333646711918e-07,True
578,language_120,social_120,0.2518253976468648,0.04563601348966999,5.518128740668094,2.532836238931769e-05,True
579,language_120,wm_001,1.0287514169134764,0.025938147880747105,39.661714538881135,9.744857400174725e-20,True
580,language_120,wm_010,0.731480635028428,0.026941129710122986,27.15107506251224,1.1562743487517202e-16,True
581,language_120,wm_025,0.649039492023846,0.04006145341695833,16.201096981396645,1.4093363351579062e-12,True
582,language_120,wm_050,0.628797796571734,0.047644565629091334,13.197681378121237,5.112670352072789e-11,True
583,language_120,wm_075,0.5954106510852435,0.04155620051929001,14.327841420652964,1.2294102038248053e-11,True
584,language_120,wm_120,0.5659354449268548,0.05490527152727903,10.307488319143935,3.2240772130855877e-09,True
585,motor_001,motor_010,-1.0224706586116403,0.037852135310661575,-27.012231944644014,1.2715926522838935e-16,True
586,motor_001,motor_025,-1.0384982315359677,0.03996537694845225,-25.984947743028506,2.6076457048366924e-16,True
587,motor_001,motor_050,-1.06492542210079,0.0356548918083884,-29.867582485560895,1.965145808682651e-17,True
588,motor_001,motor_075,-1.0897127089965517,0.03627609269590885,-30.03941791998584,1.766006939021659e-17,True
589,motor_001,motor_120,-1.1138833984451504,0.03781698817768425,-29.454577218353194,2.54670957759887e-17,True
590,motor_001,relational_001,-0.1421927689656856,0.04018210920164408,-3.538708439921012,0.0021938058043917885,False
591,motor_001,relational_010,-0.19917982657380548,0.03295384874548503,-6.044205279697257,8.175983070539452e-06,True
592,motor_001,relational_025,-0.253596440750008,0.04201012151486962,-6.03655575383772,8.309505546863903e-06,True
593,motor_001,relational_050,-0.29180047362231976,0.040757775057493444,-7.15938181637006,8.366810807036036e-07,True
594,motor_001,relational_075,-0.3507902582490192,0.0404449468107328,-8.673277774120614,4.9455199169792673e-08,True
595,motor_001,relational_120,-0.31166841678683915,0.040186967528404165,-7.755459940254307,2.6494755092249353e-07,True
596,motor_001,social_001,-0.20958237031432483,0.04601126330991973,-4.555023166884883,0.00021642324148093734,False
597,motor_001,social_010,-0.5483317523190935,0.046034531360831285,-11.91131387916429,2.9364066387071777e-10,True
598,motor_001,social_025,-0.5719021958575691,0.04802966258986751,-11.907270736859587,2.9532636202646064e-10,True
599,motor_001,social_050,-0.6393492523419311,0.040040632889954485,-15.967511155457611,1.824062962700431e-12,True
600,motor_001,social_075,-0.6417858916487102,0.057960411987190694,-11.072831776809068,9.949917106944608e-10,True
601,motor_001,social_120,-0.6924469997518606,0.04098531872920018,-16.895000971616785,6.673544194442311e-13,True
602,motor_001,wm_001,0.08447901951475086,0.038313030414853566,2.2049683514984815,0.03997845550183626,False
603,motor_001,wm_010,-0.21279176237029737,0.03148385520561486,-6.758758131130901,1.8617298783168622e-06,True
604,motor_001,wm_025,-0.29523290537487934,0.04808063692361572,-6.140370100419158,6.673796814376091e-06,True
605,motor_001,wm_050,-0.31547460082699147,0.04468892801617797,-7.059345901355826,1.0195597381364394e-06,True
606,motor_001,wm_075,-0.3488617463134821,0.0506792651797252,-6.883717533715308,1.4473112999496697e-06,True
607,motor_001,wm_120,-0.3783369524718708,0.025888559776545125,-14.614059481773172,8.698043576281723e-12,True
608,motor_010,motor_025,-0.016027572924327393,0.016546980252493466,-0.9686101439513226,0.3449090122082694,False
609,motor_010,motor_050,-0.04245476348914996,0.014313274752032519,-2.9661111258359156,0.007934630735282689,False
610,motor_010,motor_075,-0.06724205038491154,0.016127588308240317,-4.1693803871812944,0.0005204353231527219,False
611,motor_010,motor_120,-0.09141273983351027,0.015566033838125463,-5.872577484035498,1.1780093612737219e-05,True
612,motor_010,relational_001,0.8802778896459547,0.0165730179278513,53.11512323694705,3.976404574591847e-22,True
613,motor_010,relational_010,0.8232908320378348,0.01834804115605815,44.87077530704148,9.567434380357385e-21,True
614,motor_010,relational_025,0.7688742178616321,0.01900711616646056,40.45191343747173,6.726761999505684e-20,True
615,motor_010,relational_050,0.7306701849893206,0.0229730502028517,31.805536423657877,6.086096834976701e-18,True
616,motor_010,relational_075,0.671680400362621,0.027652571701541884,24.2899795220554,9.0645087918075e-16,True
617,motor_010,relational_120,0.7108022418248012,0.02709494361090788,26.233759775703923,2.1859715565620434e-16,True
618,motor_010,social_001,0.8128882882973155,0.023997796656364374,33.873455131629015,1.8756207008645206e-18,True
619,motor_010,social_010,0.4741389062925466,0.032468716462707325,14.60294578743602,8.814753875182657e-12,True
620,motor_010,social_025,0.45056846275407103,0.03248766822725663,13.868907414415522,2.1676515338131932e-11,True
621,motor_010,social_050,0.3831214062697091,0.04161858906045706,9.205535673330239,1.9626543616547584e-08,True
622,motor_010,social_075,0.3806847669629299,0.03587016707809346,10.612851792246621,2.002068513005887e-09,True
623,motor_010,social_120,0.33002365885977947,0.037547794709791846,8.789428551278265,4.030138230799986e-08,True
624,motor_010,wm_001,1.1069496781263912,0.01675023601521534,66.08561677106377,6.396185387595606e-24,True
625,motor_010,wm_010,0.8096788962413427,0.023088089997518657,35.069115562541604,9.799337935954727e-19,True
626,motor_010,wm_025,0.7272377532367608,0.03284636200268189,22.1405875383515,4.977194467072056e-15,True
627,motor_010,wm_050,0.7069960577846487,0.043581351397949504,16.22244458022733,1.3767238908589208e-12,True
628,motor_010,wm_075,0.673608912298158,0.0447398210208618,15.056137841589932,5.1538863027465545e-12,True
629,motor_010,wm_120,0.6441337061397694,0.04310163904009018,14.944529268147797,5.874565151836601e-12,True
630,motor_025,motor_050,-0.026427190564822567,0.015924894036576293,-1.6594892565140211,0.11343296428642843,False
631,motor_025,motor_075,-0.05121447746058415,0.013973558249306538,-3.6650992214617744,0.0016455524106508946,False
632,motor_025,motor_120,-0.07538516690918287,0.014167169578507829,-5.3211170016306735,3.9001600491406804e-05,True
633,motor_025,relational_001,0.8963054625702819,0.014119055113025128,63.481972086320496,1.368266533210766e-23,True
634,motor_025,relational_010,0.839318404962162,0.01868991754136364,44.90754991853883,9.420970990846205e-21,True
635,motor_025,relational_025,0.7849017907859597,0.02133488432219305,36.789596743652666,3.994454106302369e-19,True
636,motor_025,relational_050,0.7466977579136478,0.02328311919424538,32.0703489804837,5.213294478291358e-18,True
637,motor_025,relational_075,0.6877079732869482,0.023711138255896668,29.003583289213193,3.3936142255377205e-17,True
638,motor_025,relational_120,0.7268298147491286,0.02233348821590993,32.54439287416596,3.9636640947504845e-18,True
639,motor_025,social_001,0.8289158612216427,0.025202953916768658,32.88963126937782,3.254389647710428e-18,True
640,motor_025,social_010,0.49016647921687406,0.030531540313586705,16.054430080579564,1.6564904946647972e-12,True
641,motor_025,social_025,0.46659603567839836,0.033560871417402924,13.902977365374545,2.0771790970001203e-11,True
642,motor_025,social_050,0.3991489791940366,0.03247780718651367,12.289899281124566,1.729409147745089e-10,True
643,motor_025,social_075,0.3967123398872574,0.03439327354826293,11.534590894075967,5.038528296691003e-10,True
644,motor_025,social_120,0.3460512317841068,0.037111372366082675,9.324668146747777,1.6035091740471842e-08,True
645,motor_025,wm_001,1.122977251050718,0.021031843953447475,53.39414145218793,3.601900514685885e-22,True
646,motor_025,wm_010,0.8257064691656701,0.01972593861389364,41.85891912814214,3.5371903139883815e-20,True
647,motor_025,wm_025,0.7432653261610883,0.03462148863667004,21.46832373273066,8.7517960686415e-15,True
648,motor_025,wm_050,0.7230236307089761,0.041677874276785556,17.347900852796084,4.1565392019462044e-13,True
649,motor_025,wm_075,0.6896364852224854,0.04726748460097227,14.59008218957139,8.951893239068861e-12,True
650,motor_025,wm_120,0.6601612790640967,0.0455879129720263,14.481059474452922,1.0207993315289314e-11,True
651,motor_050,motor_075,-0.024787286895761585,0.015079770541838776,-1.6437443014792124,0.11667447795434188,False
652,motor_050,motor_120,-0.04895797634436031,0.014423154735984716,-3.3944013803175626,0.0030427509943105496,False
653,motor_050,relational_001,0.9227326531351047,0.011881734979675564,77.65975715781369,3.012497497084934e-25,True
654,motor_050,relational_010,0.8657455955269848,0.016127293638581196,53.6820135435414,3.2541785510478983e-22,True
655,motor_050,relational_025,0.8113289813507822,0.019540491161912275,41.52039857279533,4.120707126591117e-20,True
656,motor_050,relational_050,0.7731249484784706,0.019546362885591646,39.5533917488235,1.0258541087571065e-19,True
657,motor_050,relational_075,0.7141351638517709,0.028308922357555236,25.226504733451247,4.50941381328842e-16,True
658,motor_050,relational_120,0.7532570053139512,0.024793354382753797,30.38140760162389,1.4301965810870886e-17,True
659,motor_050,social_001,0.8553430517864655,0.019875246549383566,43.035594535203096,2.0997932061250803e-20,True
660,motor_050,social_010,0.5165936697816965,0.031728970781665734,16.281450581441643,1.290633851859821e-12,True
661,motor_050,social_025,0.49302322624322115,0.0332285699614717,14.83732904590472,6.666727719603657e-12,True
662,motor_050,social_050,0.4255761697588591,0.03342435310415407,12.73251776729128,9.463878055628733e-11,True
663,motor_050,social_075,0.42313953045207997,0.03769031560475032,11.22674415596428,7.912318024604484e-10,True
664,motor_050,social_120,0.37247842234892936,0.03626282009305684,10.271634180493507,3.4118410226367446e-09,True
665,motor_050,wm_001,1.1494044416155411,0.013239666472160936,86.81521124662734,3.645833373420374e-26,True
666,motor_050,wm_010,0.8521336597304929,0.020118331093147247,42.35608091869752,2.8327932326975124e-20,True
667,motor_050,wm_025,0.7696925167259108,0.029065365810678614,26.481432290906373,1.836846638815746e-16,True
668,motor_050,wm_050,0.7494508212737987,0.039885948451324996,18.789845807186822,9.873743208650878e-14,True
669,motor_050,wm_075,0.716063675787308,0.04111601659477174,17.41568700209061,3.8758392801281383e-13,True
670,motor_050,wm_120,0.6865884696289193,0.043745453306013635,15.695081836871372,2.474601718806531e-12,True
671,motor_075,motor_120,-0.024170689448598726,0.011683627588047392,-2.0687658234952537,0.05245177801386121,False
672,motor_075,relational_001,0.947519940030866,0.011958837571705612,79.23177602751966,2.0608560056451771e-25,True
673,motor_075,relational_010,0.8905328824227464,0.01510282279330506,58.96466472595515,5.525241761072252e-23,True
674,motor_075,relational_025,0.8361162682465437,0.01920787058249165,43.52987826816575,1.6937309085002617e-20,True
675,motor_075,relational_050,0.7979122353742321,0.022024845527963636,36.22782436140904,5.330038236477484e-19,True
676,motor_075,relational_075,0.7389224507475325,0.025092376820261626,29.44808521091818,2.5571794097421257e-17,True
677,motor_075,relational_120,0.7780442922097126,0.02532340346800805,30.72431765314024,1.1602262484250516e-17,True
678,motor_075,social_001,0.8801303386822271,0.027037637048391606,32.55204354977402,3.946297285552297e-18,True
679,motor_075,social_010,0.5413809566774581,0.03112899650733987,17.391532571562546,3.9735085832788053e-13,True
680,motor_075,social_025,0.5178105131389825,0.033664885434156355,15.381324084757242,3.536306287026818e-12,True
681,motor_075,social_050,0.45036345665462074,0.03323894688873284,13.549269721517035,3.24755279975806e-11,True
682,motor_075,social_075,0.4479268173478415,0.0374388713362991,11.964217973460947,2.724878564628471e-10,True
683,motor_075,social_120,0.397265709244691,0.03532616320352421,11.24565118934453,7.693955306513741e-10,True
684,motor_075,wm_001,1.1741917285113026,0.01896183142047944,61.92396200944675,2.1891378146988736e-23,True
685,motor_075,wm_010,0.8769209466262543,0.014896388545145725,58.86802321036503,5.699232151916957e-23,True
686,motor_075,wm_025,0.7944798036216723,0.03379900919357646,23.506008684203206,1.658651880203186e-15,True
687,motor_075,wm_050,0.7742381081695602,0.04181034341152619,18.517860533910845,1.2848811231581803e-13,True
688,motor_075,wm_075,0.7408509626830696,0.04234196448545483,17.49684908780187,3.5657048683574756e-13,True
689,motor_075,wm_120,0.711375756524681,0.04205471162803981,16.915482926540246,6.530596167652095e-13,True
690,motor_120,relational_001,0.971690629479465,0.012965732478539592,74.94297997338538,5.913603809413926e-25,True
691,motor_120,relational_010,0.9147035718713449,0.018816269468584963,48.61237629480724,2.1152136003218837e-21,True
692,motor_120,relational_025,0.8602869576951424,0.021966433659990868,39.16370636267863,1.2354970017460603e-19,True
693,motor_120,relational_050,0.8220829248228307,0.02075674717276111,39.60557586314115,1.0007609289886411e-19,True
694,motor_120,relational_075,0.7630931401961313,0.023367475428742686,32.656208092445624,3.717647957247331e-18,True
695,motor_120,relational_120,0.8022149816583113,0.021068204155267705,38.07704613768576,2.0953150603084598e-19,True
696,motor_120,social_001,0.9043010281308256,0.025945128374920773,34.85436707281611,1.0993664117604245e-18,True
697,motor_120,social_010,0.5655516461260569,0.03424514629119706,16.514797201244132,1.0017589947586074e-12,True
698,motor_120,social_025,0.5419812025875813,0.03395037697323768,15.963922963648177,1.8313517388626626e-12,True
699,motor_120,social_050,0.47453414610321937,0.03304349902810501,14.360892764401445,1.1809059201690624e-11,True
