,mean_diff,sem,t_df19,p,sidak_sig
emotion.*scratch - emotion.*pretrained,-0.193179511606707,0.014901722802665584,-12.963568988959551,6.954566175378897e-11,True
emotion.*scratch - gambling.*scratch,0.43869588908639745,0.008562960751270372,51.23179958769681,7.859880901580031e-22,True
emotion.*scratch - gambling.*pretrained,0.4553305613336461,0.007843645370199454,58.05088576079614,7.422502909984016e-23,True
emotion.*scratch - language.*scratch,-0.11219281919053932,0.01280006816208075,-8.765017324118805,4.2066956400038866e-08,True
emotion.*scratch - language.*pretrained,-0.21759665242054585,0.013361414507623626,-16.285450338838874,1.2850064212955324e-12,True
emotion.*scratch - motor.*scratch,0.01105289338515345,0.008122951536370744,1.3606991665115575,0.18953264156803137,False
emotion.*scratch - motor.*pretrained,-0.024069312310673923,0.008224187242642967,-2.9266493576256276,0.008656101322305761,False
emotion.*scratch - relational.*scratch,0.3339975293192276,0.01406100039082969,23.753468461394412,1.3678843509934327e-15,True
emotion.*scratch - relational.*pretrained,0.2648542755633861,0.011741389065808273,22.55732043959431,3.5357972234123505e-15,True
emotion.*scratch - social.*scratch,0.04153533889738881,0.013241329080947897,3.1367953053256077,0.0054304383144736495,False
emotion.*scratch - social.*pretrained,-0.04243923495582641,0.008552989913837588,-4.961918040750339,8.656118563783005e-05,True
emotion.*scratch - wm.*scratch,0.3530071804296011,0.0189759058555255,18.6029158827646,1.1828557950280738e-13,True
emotion.*scratch - wm.*pretrained,0.19531665661639047,0.008083650622640142,24.16193694336081,9.992041424157441e-16,True
emotion.*pretrained - gambling.*scratch,0.6318754006931044,0.013465548228796117,46.92533790357209,4.116330781235372e-21,True
emotion.*pretrained - gambling.*pretrained,0.648510072940353,0.013967935491241765,46.42848424858381,5.030627583659557e-21,True
emotion.*pretrained - language.*scratch,0.08098669241616771,0.018733947713075603,4.322991269994951,0.0003666639988021391,True
