,mean_diff,sem,t_df19,p,sidak_sig
full-hcp.*scratch.*001 - motor-hcp.*scratch.*075,-0.5570613940596492,0.013103025140719092,-42.513952928970554,2.6413230008400096e-20,True
full-hcp.*scratch.*001 - motor-hcp.*scratch.*120,-0.5678544512705559,0.013502216469826536,-42.05638774489675,3.2375624884107785e-20,True
full-hcp.*scratch.*001 - motor-hcp.*pretrained.*001,-0.11347935925741207,0.016706954177401406,-6.792342760531986,1.7395475094019685e-06,True
full-hcp.*scratch.*001 - motor-hcp.*pretrained.*010,-0.39354751687012673,0.015889268213083757,-24.768133534687678,6.326721486238391e-16,True
full-hcp.*scratch.*001 - motor-hcp.*pretrained.*025,-0.4841966456151984,0.012852999579257174,-37.67187905277921,2.561082841874695e-19,True
full-hcp.*scratch.*001 - motor-hcp.*pretrained.*050,-0.560856220082322,0.012318560871617232,-45.52936223049977,7.271413370265906e-21,True
full-hcp.*scratch.*001 - motor-hcp.*pretrained.*075,-0.5617317537674248,0.011728054788850828,-47.8964128221357,2.7979744487425447e-21,True
full-hcp.*scratch.*001 - motor-hcp.*pretrained.*120,-0.5804573552160909,0.012132601675983658,-47.842776901272494,2.857701798162144e-21,True
full-hcp.*scratch.*010 - full-hcp.*scratch.*025,0.008625968503829507,0.020070477103933424,0.4297839288603151,0.6721876024220768,False
full-hcp.*scratch.*010 - full-hcp.*scratch.*050,-0.0018837000475368626,0.015246282941677068,-0.12355142920689222,0.9029681033634356,False
full-hcp.*scratch.*010 - full-hcp.*scratch.*075,-0.020202295394773678,0.013690712102944284,-1.475620496791327,0.15642621130023793,False
full-hcp.*scratch.*010 - full-hcp.*scratch.*120,-0.050085450843525094,0.022264614589097047,-2.24955391179562,0.03652644859458548,False
full-hcp.*scratch.*010 - full-hcp.*pretrained.*001,0.26719572584404555,0.022132199204920693,12.072714662022353,2.3394143940334803e-10,True
full-hcp.*scratch.*010 - full-hcp.*pretrained.*010,-0.061326383277725216,0.016156338134207648,-3.795809593009167,0.0012213984283466158,False
full-hcp.*scratch.*010 - full-hcp.*pretrained.*025,-0.1377569491973452,0.013421619894005518,-10.263809457073913,3.454314825978008e-09,True
full-hcp.*scratch.*010 - full-hcp.*pretrained.*050,-0.1817774912368199,0.015259867982027582,-11.912127382157541,2.93302709884904e-10,True
full-hcp.*scratch.*010 - full-hcp.*pretrained.*075,-0.22867169228716175,0.013565729725935224,-16.85657144193156,6.950683596259974e-13,True
full-hcp.*scratch.*010 - full-hcp.*pretrained.*120,-0.2416341014768489,0.010690875088582812,-22.601901104887016,3.409990157150852e-15,True
full-hcp.*scratch.*010 - motor-hcp.*scratch.*001,0.332012852837707,0.01842378104229054,18.020885727831548,2.0980764727140742e-13,True
full-hcp.*scratch.*010 - motor-hcp.*scratch.*010,-0.014613088668864732,0.011509474512164362,-1.2696573291352409,0.2195378934376515,False
full-hcp.*scratch.*010 - motor-hcp.*scratch.*025,-0.14094913831208264,0.014156488357033434,-9.956504378577348,5.645610126576564e-09,True
full-hcp.*scratch.*010 - motor-hcp.*scratch.*050,-0.16927026698459552,0.013073981624063617,-12.947109140266898,7.107845142118011e-11,True
full-hcp.*scratch.*010 - motor-hcp.*scratch.*075,-0.21652941563443537,0.016805578083049146,-12.884377708663088,7.725224533973913e-11,True
full-hcp.*scratch.*010 - motor-hcp.*scratch.*120,-0.22732247284534216,0.014692720088183347,-15.471775919025827,3.18841951080945e-12,True
full-hcp.*scratch.*010 - motor-hcp.*pretrained.*001,0.22705261916780164,0.014235581711072792,15.949655151162133,1.8606379079010746e-12,True
full-hcp.*scratch.*010 - motor-hcp.*pretrained.*010,-0.053015538444913066,0.014620305076836808,-3.6261581523976854,0.0017981496816218878,False
full-hcp.*scratch.*010 - motor-hcp.*pretrained.*025,-0.1436646671899846,0.014143389192888958,-10.157725650526297,4.08786563793447e-09,True
full-hcp.*scratch.*010 - motor-hcp.*pretrained.*050,-0.22032424165710823,0.01641892238927459,-13.41892217000987,3.838241244328646e-11,True
full-hcp.*scratch.*010 - motor-hcp.*pretrained.*075,-0.22119977534221116,0.013055826066343241,-16.942610465104504,6.346195218990566e-13,True
full-hcp.*scratch.*010 - motor-hcp.*pretrained.*120,-0.2399253767908772,0.012121669922827835,-19.793096027061722,3.8471802931923995e-14,True
full-hcp.*scratch.*025 - full-hcp.*scratch.*050,-0.010509668551366369,0.020448688496697714,-0.5139531835043402,0.6132104816291762,False
full-hcp.*scratch.*025 - full-hcp.*scratch.*075,-0.028828263898603185,0.017532958979814904,-1.6442326667045863,0.1165727660606729,False
full-hcp.*scratch.*025 - full-hcp.*scratch.*120,-0.0587114193473546,0.021924713264801634,-2.677864865927851,0.014882450474986255,False
full-hcp.*scratch.*025 - full-hcp.*pretrained.*001,0.25856975734021603,0.0198003248033248,13.058864433213637,6.132605483399323e-11,True
full-hcp.*scratch.*025 - full-hcp.*pretrained.*010,-0.06995235178155472,0.012621592020922848,-5.542276415336078,2.4030128918353e-05,True
full-hcp.*scratch.*025 - full-hcp.*pretrained.*025,-0.14638291770117476,0.016042537933072476,-9.124673309913092,2.253433950628518e-08,True
full-hcp.*scratch.*025 - full-hcp.*pretrained.*050,-0.19040345974064946,0.01532507516369562,-12.424308377404,1.437500461832451e-10,True
full-hcp.*scratch.*025 - full-hcp.*pretrained.*075,-0.23729766079099127,0.014070139082262609,-16.865338672461196,6.886411604073095e-13,True
full-hcp.*scratch.*025 - full-hcp.*pretrained.*120,-0.2502600699806784,0.01672977942907257,-14.958958128627987,5.775731132216428e-12,True
full-hcp.*scratch.*025 - motor-hcp.*scratch.*001,0.3233868843338775,0.02006132070352222,16.119919975014387,1.5409407816376447e-12,True
full-hcp.*scratch.*025 - motor-hcp.*scratch.*010,-0.023239057172694238,0.02005999131919502,-1.1584779276777268,0.2610235033064631,False
full-hcp.*scratch.*025 - motor-hcp.*scratch.*025,-0.14957510681591218,0.013563207409588754,-11.02800409217125,1.0641385296335024e-09,True
full-hcp.*scratch.*025 - motor-hcp.*scratch.*050,-0.17789623548842506,0.016308937393208583,-10.90789860794396,1.2753008707013812e-09,True
full-hcp.*scratch.*025 - motor-hcp.*scratch.*075,-0.2251553841382649,0.016128960335273924,-13.95969606583083,1.9352328090227924e-11,True
full-hcp.*scratch.*025 - motor-hcp.*scratch.*120,-0.23594844134917164,0.014507470774090559,-16.26392670530558,1.3155954366513543e-12,True
full-hcp.*scratch.*025 - motor-hcp.*pretrained.*001,0.21842665066397218,0.019818920954856666,11.021117202167673,1.0751986839469792e-09,True
full-hcp.*scratch.*025 - motor-hcp.*pretrained.*010,-0.061641506948742576,0.016384878016004804,-3.7620973978891357,0.0013190678420243193,False
full-hcp.*scratch.*025 - motor-hcp.*pretrained.*025,-0.15229063569381412,0.01632637597780303,-9.327889784044237,1.5948070807989725e-08,True
full-hcp.*scratch.*025 - motor-hcp.*pretrained.*050,-0.2289502101609378,0.015024111547920868,-15.238851856942011,4.1672781055362335e-12,True
full-hcp.*scratch.*025 - motor-hcp.*pretrained.*075,-0.2298257438460407,0.015225146500131128,-15.09514170153051,4.924422983972724e-12,True
full-hcp.*scratch.*025 - motor-hcp.*pretrained.*120,-0.24855134529470665,0.0163472505644756,-15.204473945902345,4.336536562718243e-12,True
full-hcp.*scratch.*050 - full-hcp.*scratch.*075,-0.018318595347236816,0.021651792514122595,-0.84605444723749,0.40805198417273614,False
full-hcp.*scratch.*050 - full-hcp.*scratch.*120,-0.04820175079598822,0.020768097883869473,-2.3209516377244346,0.03156549096104494,False
full-hcp.*scratch.*050 - full-hcp.*pretrained.*001,0.2690794258915824,0.022463128088457865,11.97871573504682,2.669739414019695e-10,True
full-hcp.*scratch.*050 - full-hcp.*pretrained.*010,-0.059442683230188365,0.018839174158552376,-3.155270115872001,0.005210770603224528,False
full-hcp.*scratch.*050 - full-hcp.*pretrained.*025,-0.1358732491498084,0.017958522860641608,-7.565947945952278,3.7991176754781953e-07,True
full-hcp.*scratch.*050 - full-hcp.*pretrained.*050,-0.17989379118928311,0.01948556833617061,-9.232155207674925,1.875715991963718e-08,True
full-hcp.*scratch.*050 - full-hcp.*pretrained.*075,-0.22678799223962484,0.017668375474317998,-12.835814620833379,8.241605664509194e-11,True
full-hcp.*scratch.*050 - full-hcp.*pretrained.*120,-0.239750401429312,0.017214123309212542,-13.927540608530668,2.014411771232616e-11,True
full-hcp.*scratch.*050 - motor-hcp.*scratch.*001,0.3338965528852439,0.02231896050647149,14.960219710430911,5.767172894999292e-12,True
full-hcp.*scratch.*050 - motor-hcp.*scratch.*010,-0.012729388621327869,0.017435838009860132,-0.7300703650796296,0.4742532875263642,False
full-hcp.*scratch.*050 - motor-hcp.*scratch.*025,-0.13906543826454582,0.019121300371055923,-7.272802349522753,6.697790805771648e-07,True
full-hcp.*scratch.*050 - motor-hcp.*scratch.*050,-0.16738656693705872,0.0190928351632031,-8.76698329537022,4.192182929787629e-08,True
full-hcp.*scratch.*050 - motor-hcp.*scratch.*075,-0.21464571558689854,0.01894238678684136,-11.331503152285206,6.778818856432746e-10,True
full-hcp.*scratch.*050 - motor-hcp.*scratch.*120,-0.22543877279780528,0.020573640811240683,-10.95765085364151,1.1829599870678213e-09,True
full-hcp.*scratch.*050 - motor-hcp.*pretrained.*001,0.22893631921533855,0.020404302416642085,11.220002259357532,7.991740537292993e-10,True
