mi,class,attr_method,contrast
0.050620141582553124,body,tscore,subt-vs-grpt
0.05376681042894749,body,tscore,subt-vs-grpt
0.034641731108546736,body,tscore,subt-vs-grpt
0.042962179974789017,body,tscore,subt-vs-grpt
0.046266348140126645,body,tscore,subt-vs-grpt
0.04360242016688254,body,tscore,subt-vs-grpt
0.030646310426424073,body,tscore,subt-vs-grpt
0.05776446732723173,body,tscore,subt-vs-grpt
0.022956190556214118,body,tscore,subt-vs-grpt
0.05847472999735448,body,tscore,subt-vs-grpt
0.042000983169431017,body,tscore,subt-vs-grpt
0.06758918566414085,body,tscore,subt-vs-grpt
0.04120017839084955,body,tscore,subt-vs-grpt
0.05008006561241363,body,tscore,subt-vs-grpt
0.04247972952791024,body,tscore,subt-vs-grpt
0.02126492195187435,body,tscore,subt-vs-grpt
0.05856958178357985,body,tscore,subt-vs-grpt
0.033614757474017765,body,tscore,subt-vs-grpt
0.04753331063566968,body,tscore,subt-vs-grpt
0.04219297927459742,body,tscore,subt-vs-grpt
0.04761589960379098,face,tscore,subt-vs-grpt
0.04999014605584673,face,tscore,subt-vs-grpt
0.036500012742179955,face,tscore,subt-vs-grpt
0.03968417802003721,face,tscore,subt-vs-grpt
0.046445708949875986,face,tscore,subt-vs-grpt
0.03776768600250602,face,tscore,subt-vs-grpt
0.03178180164760569,face,tscore,subt-vs-grpt
0.05651344747676745,face,tscore,subt-vs-grpt
0.029774165797917362,face,tscore,subt-vs-grpt
0.05570164334858063,face,tscore,subt-vs-grpt
0.04288097869062035,face,tscore,subt-vs-grpt
0.06052141837783598,face,tscore,subt-vs-grpt
0.036875817545276135,face,tscore,subt-vs-grpt
0.049922477374701124,face,tscore,subt-vs-grpt
0.03956787851086396,face,tscore,subt-vs-grpt
0.02730168369523156,face,tscore,subt-vs-grpt
0.05572478090315336,face,tscore,subt-vs-grpt
0.03283333024520019,face,tscore,subt-vs-grpt
0.03903955394058212,face,tscore,subt-vs-grpt
0.04284744295646181,face,tscore,subt-vs-grpt
0.07138618450230272,place,tscore,subt-vs-grpt
0.0715702340685036,place,tscore,subt-vs-grpt
0.05374276933788469,place,tscore,subt-vs-grpt
0.06990602593413442,place,tscore,subt-vs-grpt
0.05651046587856179,place,tscore,subt-vs-grpt
0.06278678041787611,place,tscore,subt-vs-grpt
0.04477641602562876,place,tscore,subt-vs-grpt
0.07685466439321065,place,tscore,subt-vs-grpt
0.05642699798255002,place,tscore,subt-vs-grpt
0.07456908068573487,place,tscore,subt-vs-grpt
0.054903978904259354,place,tscore,subt-vs-grpt
0.08388195868825221,place,tscore,subt-vs-grpt
0.062107238981303325,place,tscore,subt-vs-grpt
0.07667145799761066,place,tscore,subt-vs-grpt
0.06491984536781015,place,tscore,subt-vs-grpt
0.03449203247447752,place,tscore,subt-vs-grpt
0.06270868909130911,place,tscore,subt-vs-grpt
0.0599405689313528,place,tscore,subt-vs-grpt
0.06599816164818773,place,tscore,subt-vs-grpt
0.07704656549476141,place,tscore,subt-vs-grpt
0.06314055909020766,tool,tscore,subt-vs-grpt
0.06887553701565441,tool,tscore,subt-vs-grpt
0.04593025027550901,tool,tscore,subt-vs-grpt
0.06602297736234775,tool,tscore,subt-vs-grpt
0.05980281236812335,tool,tscore,subt-vs-grpt
0.05699187707672859,tool,tscore,subt-vs-grpt
0.02906833114182117,tool,tscore,subt-vs-grpt
0.070659452403814,tool,tscore,subt-vs-grpt
0.03526605338399946,tool,tscore,subt-vs-grpt
0.07117906409029828,tool,tscore,subt-vs-grpt
0.05505392974223877,tool,tscore,subt-vs-grpt
0.07029788549587224,tool,tscore,subt-vs-grpt
0.05553951554190473,tool,tscore,subt-vs-grpt
0.06507798903611928,tool,tscore,subt-vs-grpt
