"Name","Agent","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","batch_size","dropout","kernel_size","learning_rate","best_valid_epoch","test_loss","train_acc","train_loss","valid_acc","valid_loss","test_accuracy","best_valid_accuracy"
"motor-explo-1665483409.383567","lq978dqb","1078","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.4","7","0.0001","10","0.00014586019530210976","1","0.0010053333708879414","0.9571428571428572","0.5162362876233387","1","0.9642857142857144"
"motor-explo-1665419549.076938","lq978dqb","1515","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.3","5","0.00001","34","0.0008727404575087405","1","0.0013630748659101094","0.9642857142857144","0.21315320416121705","1","0.9642857142857144"
"motor-explo-1665441698.2802835","lq978dqb","926","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.5","7","0.0001","6","0","1","0.0015430491909105345","0.9714285714285714","0.3851331258335181","1","0.9642857142857144"
"motor-explo-1665541183.6612225","lq978dqb","502","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.5","5","0.001","4","0.0003565521882029949","0.9910714285714286","0.018219651560042443","0.9642857142857144","0.15757465697225825","1","0.9571428571428572"
"motor-explo-1665484493.819896","lq978dqb","669","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.4","7","0.001","2","0.000004885193238106484","0.9928571428571428","0.06130362615321282","0.9214285714285714","1.5262665789467746","1","0.9571428571428572"
"motor-explo-1665511889.8504052","lq978dqb","2865","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.7","7","0.00001","56","0.012638149909504976","0.9875","0.04237970785953524","0.9428571428571428","0.14609770160162347","1","0.9571428571428572"
"motor-explo-1665487330.3624017","lq978dqb","1741","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.5","5","0.00001","39","0.0144148220032758","0.9910714285714286","0.027654149395831544","0.95","0.1566102630888256","1","0.9571428571428572"
"motor-explo-1665497527.9669347","lq978dqb","1972","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.6","5","0.00001","49","0.01164675666950643","0.9910714285714286","0.026235630401944425","0.9642857142857144","0.143826019729507","1","0.9571428571428572"
"motor-explo-1665501460.897629","lq978dqb","2822","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.6","7","0.00001","48","0.004997377465227915","0.9928571428571428","0.020621292643380786","0.9571428571428572","0.19141321724393695","1","0.9571428571428572"
"motor-explo-1665503459.400428","kuhcmqm6","15686","Philipps-iMac.local","-","","","","8","0.6","7","0.0001","13","6.877457919402402e-9","1","0.004791261706963354","0.9642857142857144","0.30111143755666425","1","0.9571428571428572"
"motor-explo-1665555289.2280717","lq978dqb","1041","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.6","7","0.0001","11","0.004766031704353476","0.9839285714285714","0.04272892123054162","0.9285714285714286","0.39399861514611856","1","0.9571428571428572"
"motor-explo-1665470784.0234814","lq978dqb","2027","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.3","7","0.00001","29","0.004145328187961949","0.9964285714285714","0.009254001576276491","0.95","0.1381051740713196","1","0.9571428571428572"
"motor-explo-1665548721.0701652","lq978dqb","1958","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.6","5","0.00001","59","0.05660790231611047","0.9821428571428572","0.07251012317304101","0.95","0.16063549038436678","1","0.95"
"motor-explo-1665541691.2343504","lq978dqb","2799","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.5","7","0.00001","54","0.02658930932895081","0.9875","0.03324598184920303","0.9428571428571428","0.19327218163137636","1","0.95"
"motor-explo-1665552477.8838139","lq978dqb","2805","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.6","7","0.00001","54","0.018550027261621187","0.9839285714285714","0.05327651977630532","0.95","0.17580098979589012","1","0.9428571428571428"
"motor-explo-1665486858.4194095","lq978dqb","470","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.5","3","0.001","5","0.17794420046687348","0.9839285714285714","0.08134920006321433","0.9571428571428572","0.28244585500643715","0.99","0.9928571428571428"
