mi,class,fold,attr_method
0.04234276796565184,footleft,6,lrp
0.039914983367148826,footleft,6,lrp
0.033422512941090776,footleft,6,lrp
0.03712580820373956,footleft,6,lrp
0.04139830424256785,footleft,6,lrp
0.02839600020498967,footleft,6,lrp
0.04157863165604092,footleft,6,lrp
0.024725934107612035,footleft,6,lrp
0.032497784636861926,footleft,6,lrp
0.03331149792584931,footleft,6,lrp
0.032831083961621044,footleft,6,lrp
0.016219125965995174,footleft,6,lrp
0.03414078475675941,footleft,6,lrp
0.0341199498113991,footleft,6,lrp
0.042223062532754874,footleft,6,lrp
0.03093477145073198,footleft,7,lrp
0.029333139411831466,footleft,7,lrp
0.018132687104422285,footleft,7,lrp
0.022265555856544328,footleft,7,lrp
0.02797540909740337,footleft,7,lrp
0.04093498335769574,footleft,7,lrp
0.016539509632127247,footleft,7,lrp
0.03778871489696978,footleft,7,lrp
0.03269058805995351,footleft,7,lrp
0.036604696974877005,footleft,7,lrp
0.033930129951574406,footleft,7,lrp
0.03658187204931451,footleft,7,lrp
0.02606526843916046,footleft,7,lrp
0.03344013404949875,footleft,7,lrp
0.03235455850684721,footleft,7,lrp
0.03235253047209641,footleft,7,lrp
0.029536911423801993,footleft,7,lrp
0.02573939524046942,footleft,7,lrp
0.02640513687337598,footleft,7,lrp
0.03916298289134401,footleft,7,lrp
0.023412358897347163,footleft,8,lrp
0.024788035028643796,footleft,8,lrp
0.021632798317147373,footleft,8,lrp
0.02048422416081741,footleft,8,lrp
0.02335710597535212,footleft,8,lrp
0.029878728616201444,footleft,8,lrp
0.017436023404921785,footleft,8,lrp
0.025975224767674776,footleft,8,lrp
0.03037289864493964,footleft,8,lrp
0.022267017072375994,footleft,8,lrp
0.027316955632233908,footleft,8,lrp
0.03425801133789497,footleft,8,lrp
0.014820564896155464,footleft,8,lrp
0.03362974981406475,footleft,8,lrp
0.022595340570504385,footleft,8,lrp
0.02754526520842715,footleft,8,lrp
0.02550477403577256,footleft,8,lrp
0.024290484644642785,footleft,8,lrp
0.02953126434696096,footleft,8,lrp
0.029734793993883457,footleft,8,lrp
0.031235381567732423,footleft,9,lrp
0.025654594859371604,footleft,9,lrp
0.02410149741764589,footleft,9,lrp
0.012430678122414163,footleft,9,lrp
0.028022310847017895,footleft,9,lrp
0.046534458820350455,footleft,9,lrp
0.026711939283948105,footleft,9,lrp
